,0,1
0,"Mabbot Lane, Mountjoy A ED, Dublin, Dublin 1, Leinster, D01 X3F4, Éire / Ireland","(53.3522763, -6.2545299)"
1,"Cavan (Tractamotors), Dublin Road, Cavan Urban ED, Cavan-Belturbet Municipal District, County Cavan, Ulster, H12 P2K2, Éire / Ireland","(53.9828239, -7.3561527)"
2,"Trinity, College Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 PX75, Éire / Ireland","(53.3453267, -6.2582748)"
3,"London Bridge, Pembroke West A ED, Dublin, County Dublin, Leinster, D04 CA43, Éire / Ireland","(53.33765235, -6.226641315799421)"
4,"Talbot Street, North City ED, Dublin, County Dublin, Leinster, D01 X8F8, Éire / Ireland","(53.3505917, -6.2558955)"
5,"Lad Lane, South Dock ED, Dublin, Dublin 2, Leinster, D02 XW14, Éire / Ireland","(53.3362222, -6.2483676)"
6,"Stepaside, Dún Laoghaire-Rathdown, County Dublin, Leinster, D18 YR68, Éire / Ireland","(53.2531104, -6.2143744)"
7,"Zion Parish 1900, Rathfarnham ED, Dublin, South Dublin, Dublin 6, Leinster, Éire / Ireland","(53.3066985, -6.270915256211742)"
8,"Oxford Court, Oxford Road, Ranelagh, Rathmines West B ED, Dublin, County Dublin, Leinster, D06 Y027, Éire / Ireland","(53.3247212, -6.257947209624053)"
9,"Alpine Heights, Clondalkin-Dunawley ED, Clondalkin, South Dublin, Dublin 22, Leinster, Éire / Ireland","(53.3241831, -6.407928933422719)"
10,"Hatch Hall, Saint Kevin's ED, Dublin, Dublin 2, Leinster, Éire / Ireland","(53.33364025, -6.2561690195685244)"
11,"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
12,"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
13,"Findon, 20, Greygates, Mount Merrion, Stillorgan-Mount Merrion ED, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 AN81, Éire / Ireland","(53.29892555, -6.205543039565756)"
14,"Leopardstown, Galloping Green South, Stillorgan-Leopardstown ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, D18 P521, Éire / Ireland","(53.2747217, -6.1927577)"
15,"Beaver Street, Mountjoy A ED, Dublin, Dublin 1, Leinster, D01 H6Y6, Éire / Ireland","(53.352949, -6.250367)"
16,"Purdon Street, Mountjoy A ED, Dublin, Dublin 1, Leinster, D01 H6Y6, Éire / Ireland","(53.352949, -6.250367)"
17,"Portobello, Wood Quay B ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.3312645, -6.2688255)"
18,"Wexford, Kilmacud Road Lower, Mount Anville, Stillorgan-Deerpark ED, Goatstown, Dún Laoghaire-Rathdown, County Dublin, Leinster, D14 C3Y0, Éire / Ireland","(53.2908587, -6.2267604)"
19,"Westland Square, Mansion House A ED, Dublin, Dublin 2, Leinster, Éire / Ireland","(53.344272399999994, -6.247524440533862)"
20,"Malahide, Main Street, Malahide East ED, Fingal, County Dublin, Leinster, K36 VY57, Éire / Ireland","(53.4506973, -6.156591)"
21,"National Library of Ireland, Kildare Street, Dublin, County Dublin, Leinster, D02 CY95, Éire / Ireland","(53.34109775, -6.254485944347109)"
22,"Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 T860, Éire / Ireland","(53.2922794, -6.1360079)"
23,"Liffey, North Dock B ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.34418175, -6.205709937812916)"
24,"Bachelor's Walk, Arlington Hotel, Bachelors Walk, North City ED, Dublin, County Dublin, Leinster, D01 E8P4, Éire / Ireland","(53.3472503, -6.26068)"
25,"Waterloo, Waterloo Lane, Pembroke West C ED, Dublin, County Dublin, Leinster, D04 N935, Éire / Ireland","(53.3321477, -6.245211)"
26,"Burgundy Beauty, Newtown Park, Stillorgan Park, Blackrock-Carysfort ED, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 DA33, Éire / Ireland","(53.2871321, -6.177236331123737)"
27,"Castle, 12a, Terenure Road West, Terenure, Terenure C ED, Dublin, County Dublin, Leinster, D06 K767, Éire / Ireland","(53.3096017, -6.2855949)"
28,"The Irish Times, 24-28, Tara Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 TK71, Éire / Ireland","(53.3460932, -6.254914695002476)"
29,"Bective Tennis, Donnybrook Road, Pembroke West B ED, Dublin, County Dublin, Leinster, D04 T8X2, Éire / Ireland","(53.32107435, -6.2323610060490084)"
30,"Eccles Townhouse, Dorset Street Upper, Inns Quay B ED, Dublin, County Dublin, Leinster, D01 K6W6, Éire / Ireland","(53.3574023, -6.2641644)"
31,"Little Britain Street, Grangegorman, Rotunda B ED, Dublin, Dublin 7, Leinster, D07 YT6H, Éire / Ireland","(53.3493211, -6.2698367)"
32,"Dublin Metropolitan Police Division F 1840, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.28669755, -6.155736105943724)"
33,"1MP Loop Line, Seville Terrace, North Dock C ED, Dublin, County Dublin, Leinster, D01 HN36, Éire / Ireland","(53.3541521, -6.2448536)"
34,"Beechill Ave (Beaver Row), Beech Hill Estate, Roebuck, Pembroke East D ED, Dublin, County Dublin, Leinster, D04 PV32, Éire / Ireland","(53.3175917, -6.2330531)"
35,"Berlin, 15, Dame Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 E267, Éire / Ireland","(53.343965049999994, -6.265319753645949)"
36,"#199 Phibsboro Road, Munster Street, Phibsborough Road, Phibsborough, Cabra East A ED, Dublin, County Dublin, Leinster, D07 VH04, Éire / Ireland","(53.3635526, -6.272288)"
37,"Dunsink, Blanchardstown-Abbotstown ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.3876833, -6.339465683914002)"
38,"Amazon Web Services, Priorswood A ED, Dublin, Dublin 17, Leinster, Éire / Ireland","(53.401522400000005, -6.2196312115999834)"
39,"Phoenix, Belgard Square North, Springfield, Tallaght-Springfield ED, Tallaght, South Dublin, County Dublin, Leinster, D24 NR0A, Éire / Ireland","(53.291825, -6.3806466)"
40,"First All Ireland Football Final, Beech Hill Estate, Roebuck, Pembroke East D ED, Dublin, County Dublin, Leinster, D04 PV32, Éire / Ireland","(53.3181253, -6.2332434)"
41,"Mountjoy, Mountjoy Square, Mountjoy B ED, Dublin, County Dublin, Leinster, D01 PK61, Éire / Ireland","(53.3564398, -6.2576884)"
42,"Carlow Courthouse, Dublin Road, Carlow, Carlow Urban ED, The Municipal District of Carlow, County Carlow, Leinster, R93 XA03, Éire / Ireland","(52.839124350000006, -6.930067153260868)"
43,"Arran Quay, Arran Quay C ED, Dublin, County Dublin, Leinster, D07 WNP2, Éire / Ireland","(53.3463202, -6.2783871)"
44,"Inns Quay, Inns Quay C ED, Dublin, Dublin 7, Leinster, D07 HK38, Éire / Ireland","(53.3455743, -6.2734115)"
45,"Rotunda Hospital, Parnell Square West, Rotunda B ED, Dublin, County Dublin, Leinster, D01 P5W9, Éire / Ireland","(53.353003099999995, -6.263468480041185)"
46,"North Dock, North Dock B ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3522782, -6.222598960741069)"
