0,1
"Windmill Lane, Mansion House A ED, Dublin, Dublin 2, Leinster, D02 CR67, Éire / Ireland","(53.3457712, -6.2455611)"
"Lime Street, South Dock ED, Dublin, Dublin 2, Leinster, D02 WY65, Éire / Ireland","(53.3453837, -6.2437442)"
"Townsend Street, Mansion House A ED, Dublin, Dublin 2, Leinster, D02 R156, Éire / Ireland","(53.3456427, -6.2504095)"
"Park Road, Glasthule, Dun Laoghaire-Glasthule ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 KX44, Éire / Ireland","(53.2899338, -6.1292908)"
"O’Neill’s, 2, Suffolk Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 KX03, Éire / Ireland","(53.3438425, -6.2607432)"
"Westland Square, Mansion House A ED, Dublin, Dublin 2, Leinster, Éire / Ireland","(53.344272399999994, -6.247524440533862)"
"Ceylon, 1, Cowper Gardens, Milltown, Dublin, County Dublin, Leinster, D06 Y176, Éire / Ireland","(53.31650205, -6.2516165)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"O'Connell Street, Dublin Bus, O'Connell Street Upper, North City ED, Dublin, County Dublin, Leinster, D01 TV20, Éire / Ireland","(53.3506057, -6.2607988)"
"Grosvenor Court, Clontarf, Clontarf East C ED, Dublin, Dublin 3, Leinster, D03 WR23, Éire / Ireland","(53.3688346, -6.2003386)"
"Conway Court, South Dock ED, Dublin, Dublin 2, Leinster, Éire / Ireland","(53.34181025, -6.242112344421266)"
"Broadstone, Grangegorman, Arran Quay B ED, Dublin, Dublin 7, Leinster, D07 YPY2, Éire / Ireland","(53.3535962, -6.2737974)"
"Arch, Victoria Road, Dalkey Hill ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 H312, Éire / Ireland","(53.26439485, -6.114524032306619)"
"Eustace Street, Temple Bar, Royal Exchange A ED, Dublin, Dublin 2, Leinster, D02 XH60, Éire / Ireland","(53.3449029, -6.2648825)"
"1MP Loop Line, Seville Terrace, North Dock C ED, Dublin, County Dublin, Leinster, D01 HN36, Éire / Ireland","(53.3541521, -6.2448536)"
"ETAP Hotel Belfast, 35-39, Dublin Road, Linen Quarter, Belfast, County Antrim, Ulster, Northern Ireland, BT2 7HN, United Kingdom","(54.5919988, -5.9326537)"
"Dún Laoghaire-Sandycove ED, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.28248015, -6.119561935860996)"
"Wicklow (Lidl), Dublin Road, Wicklow Urban ED, The Municipal District of Wicklow, County Wicklow, Leinster, A67 HD86, Éire / Ireland","(52.9860807, -6.0561617)"
"Brunswick, Bannow Road, Cabra, Cabra West B ED, Dublin, County Dublin, Leinster, D07 AX73, Éire / Ireland","(53.3703782, -6.2923372)"
"Adelphi B&B, 68, Gardiner Street Lower, Mountjoy A ED, Dublin, County Dublin, Leinster, D01 VC03, Éire / Ireland","(53.350571650000006, -6.254033093197576)"
"London Bridge, Pembroke West A ED, Dublin, County Dublin, Leinster, D04 CA43, Éire / Ireland","(53.33765235, -6.226641315799421)"
"Cumberland Street, Monkstown, Dun Laoghaire-Salthill ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 Y6X2, Éire / Ireland","(53.2949342, -6.1434064)"
"The Coombe, The Liberties, Merchants Quay B ED, Dublin, Dublin 8, Leinster, D08 VY00, Éire / Ireland","(53.3398257, -6.2775196)"
"Ashtown, Ashtown Road, Castleknock-Park ED, Fingal, County Dublin, Leinster, D15 XKP4, Éire / Ireland","(53.3754061, -6.3318144)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"Dublin City University All Hallows Campus, Grace Park View, Grace Park Wood, Drumcondra South A ED, Dublin, County Dublin, Leinster, D09 F821, Éire / Ireland","(53.37117739999999, -6.2484877168652195)"
"Mullingar (Prospect Estate), Dublin Road, Mullingar North Urban ED, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, N91 Y526, Éire / Ireland","(53.5257559, -7.3301446)"
"China Info, 157, Parnell Street, Rotunda A ED, Dublin, County Dublin, Leinster, D01 CK74, Éire / Ireland","(53.3531397, -6.260608)"
"Guinness Brewery, Ushers B ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.34546785, -6.288072970023892)"
"Talbot Street, Gardiner Street, Talbot Street, North City ED, Dublin, County Dublin, Leinster, D01 X8F8, Éire / Ireland","(53.3503826, -6.2562658)"
"Mexico to Rome, Wellington Quay, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 Y103, Éire / Ireland","(53.3457261, -6.2643978)"
"Former South West College Enniskillen grounds, 1, Dublin Road, Tonystick, Enniskillen, County Fermanagh, Ulster, Northern Ireland, BT74 6AE, United Kingdom","(54.3429492, -7.631642990750082)"
"Lincoln Place, Mansion House A ED, Dublin, Dublin 2, Leinster, D02 FR90, Éire / Ireland","(53.3420264, -6.2519349)"
"Huguenot Cemetery, Merrion Row, Dublin, County Dublin, Leinster, D02 V962, Éire / Ireland","(53.3386859, -6.254829880094868)"
"Albany, Ballybrack, Killiney South ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland","(53.25162615, -6.121684807481753)"
"National Library of Ireland, Kildare Street, Dublin, County Dublin, Leinster, D02 CY95, Éire / Ireland","(53.34109775, -6.254485944347109)"
"Donnybrook, Rathmines East B ED, Dublin, County Dublin, Leinster, D04 T8X2, Éire / Ireland","(53.3220419, -6.236355)"
